rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ticker,current_price,date,trade_time,record_time,gain_loss_currency,gain_loss_percent,previous_close,open,current_bid_price,current_bid_volume,current_ask_price,current_ask_volume,days_range_low,days_range_high,fiftytwo_week_range_low,fiftytwo_week_range_high,current_volume,avg_volume,market_cap,beta,eps,earnings_date,forward_dividend_and_yield_currency,forward_dividend_and_yield_percentage,ex_dividend_date,one_year_target_est,net_assets,nav,pe_ratio,yield_,ytd_return,beta_3y,expense_ratio_net,inception_date
1529676674109747886,,0,,1529676673,108951091,"""43""","""BAC""",29.4883995056,"""2018-06-22""","""As of  10","""07",0.198400005698,0.680000007153,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,10668887.0,68098520.0,2.98994991104e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1000003815,nan,nan,nan,nan,''
1529676732885176897,,0,,1529676731,937858104,"""44""","""BAC""",29.4799995422,"""2018-06-22""","""As of  10","""07",0.189999997616,0.660000026226,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,10799725.0,68098520.0,2.98953015296e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1000003815,nan,nan,nan,nan,''
1529676792828162908,,0,,1529676790,756884098,"""45""","""BAC""",29.5002002716,"""2018-06-22""","""As of  10","""07",0.210199996829,0.72000002861,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,10996454.0,68098520.0,2.9911400448e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1100006104,nan,nan,nan,nan,''
1529676852838687896,,0,,1529676849,585944890,"""46""","""BAC""",29.5100002289,"""2018-06-22""","""As of  10","""07",0.219999998808,0.75,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,11153374.0,68098520.0,2.99214012416e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1200008392,nan,nan,nan,nan,''
1529676912100083112,,0,,1529676908,408077955,"""47""","""BAC""",29.5,"""2018-06-22""","""As of  10","""07",0.209999993443,0.709999978542,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,11417586.0,68098520.0,2.99079008256e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.1100006104,nan,nan,nan,nan,''
1529676970150584936,,0,,1529676967,230011940,"""48""","""BAC""",29.4699993134,"""2018-06-22""","""As of  10","""07",0.180000007153,0.610000014305,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,11721052.0,68098520.0,2.98807984128e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0900001526,nan,nan,nan,nan,''
1529677030067914962,,0,,1529677026,49639940,"""49""","""BAC""",29.4400005341,"""2018-06-22""","""As of  10","""07",0.15000000596,0.52999997139,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,11948030.0,68098520.0,2.98555015168e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0799999237,nan,nan,nan,nan,''
1529677087689291000,,0,,1529677084,878117084,"""50""","""BAC""",29.4400005341,"""2018-06-22""","""As of  10","""07",0.15000000596,0.509999990463,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,12083368.0,68098520.0,2.98503995392e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0799999237,nan,nan,nan,nan,''
1529677146888541936,,0,,1529677143,700877904,"""51""","""BAC""",29.4500007629,"""2018-06-22""","""As of  10","""07",0.159999996424,0.550000011921,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,12216891.0,68098520.0,2.98604986368e+11,1.59000003338,1.72399997711,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0799999237,nan,nan,nan,nan,''
1529677205197355031,,0,,1529677202,525886058,"""52""","""BAC""",29.4099998474,"""2018-06-22""","""As of  10","""07",0.119999997318,0.409999996424,29.2900009155,29.4599990845,nan,nan,nan,nan,29.2600002289,29.5200004578,22.7299995422,33.0499992371,12338887.0,68098520.0,2.98200006656e+11,1.59000003338,1.72000002861,'',0.479999989271,1.63999998569,'',nan,nan,nan,17.0599994659,nan,nan,nan,nan,''
